fr;tlt;note
tlu tzicoza;tlu tzikoza;
ton;iso;
tout;iewa;
tout;sotera;
tout d'abord;satti;
tranquille;amalti;
transport;itza;
travail;kerso;
tresse;djeru;
tressé;djeruse;
trouvaille;mezatche;
tu;isa;
turquoise;umoi;
typique;palta;
tzautan;tzautan;
tzolote;tzolot;
un;a;
une;a;
vent;uingo;
ver;mu;
vêtement;ferraize;
vie;so;
ville;amat;
ville natale;fotzatetla;
vivant;sotli;
vos;tenmo;
votre;tenmo;
vous;temne;
Zintotel;Zintotel;
j’;eco;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;liquide;
